subject,component,sov,cond,amplitude,is_peak
08,N350,wm,Bl0T4,-0.964609135933548,1
08,N100,wn,Bl0T1,-0.687636958937165,1
08,P2,wn,Bl0T1,2.52933174068867,1
08,N350,wn,Bl0T1,-1.83068777794639,1
08,N100,wn,Bl0T2,-0.635382510344173,1
08,P2,wn,Bl0T2,1.44311035121225,1
08,N350,wn,Bl0T2,-1.32612767300114,1
08,N100,wn,Bl0T3,-1.19246260336954,1
08,P2,wn,Bl0T3,1.43870386621673,1
08,N350,wn,Bl0T3,-0.978079658612195,1
08,N100,wn,Bl0T4,-0.716209011311794,1
08,P2,wn,Bl0T4,1.09907062358364,1
08,N350,wn,Bl0T4,-0.837606131335677,1
09,N100,wm,Bl0T1,-4.31634569811738,1
09,P2,wm,Bl0T1,0.359829506220693,1
09,N350,wm,Bl0T1,-3.51581879359394,1
09,N100,wm,Bl0T2,-1.86203267489708,1
09,P2,wm,Bl0T2,-0.6326438772466,1
09,N350,wm,Bl0T2,-0.855338684130007,1
09,N100,wm,Bl0T3,-2.4531551925158,1
09,P2,wm,Bl0T3,-1.59786709683403,1
09,N350,wm,Bl0T3,-1.63436114724444,1
09,N100,wm,Bl0T4,-2.40404414042779,1
09,P2,wm,Bl0T4,1.29418488363347,0
09,N350,wm,Bl0T4,-2.18644193150362,1
09,N100,wn,Bl0T1,-5.00365959941668,1
09,P2,wn,Bl0T1,0.00163197621899331,1
09,N350,wn,Bl0T1,-4.49968524386428,1
09,N100,wn,Bl0T2,-3.54866747602096,1
09,P2,wn,Bl0T2,-0.154775960896815,0
09,N350,wn,Bl0T2,-1.75618069341441,1
09,N100,wn,Bl0T3,-2.43650837661569,1
09,P2,wn,Bl0T3,1.13216494228474,0
09,N350,wn,Bl0T3,-0.301687559842208,1
09,N100,wn,Bl0T4,-3.11693382238224,1
09,P2,wn,Bl0T4,-3.26097474054636,1
09,N350,wn,Bl0T4,-2.6031684800312,1
10,N100,wm,Bl0T1,-3.782390161814,1
10,P2,wm,Bl0T1,2.08315375083431,1
10,N350,wm,Bl0T1,-2.93790220019473,1
10,N100,wm,Bl0T2,-2.18559564200382,1
10,P2,wm,Bl0T2,0.528533280658168,1
10,N350,wm,Bl0T2,-0.467991474499103,1
10,N100,wm,Bl0T3,-2.63963033263963,1
10,P2,wm,Bl0T3,-1.49778066698427,1
10,N350,wm,Bl0T3,-1.46998154632725,1
10,N100,wm,Bl0T4,-2.86739084194912,1
10,P2,wm,Bl0T4,-1.12738951160984,1
10,N350,wm,Bl0T4,-1.94722364780255,1
10,N100,wn,Bl0T1,-5.11346044151319,1
10,P2,wn,Bl0T1,2.23662368343902,1
10,N350,wn,Bl0T1,-4.24259861717119,1
10,N100,wn,Bl0T2,-3.43308693322491,1
10,P2,wn,Bl0T2,-0.938552609493059,1
10,N350,wn,Bl0T2,-1.66013020656279,1
10,N100,wn,Bl0T3,-4.1253380302135,1
10,P2,wn,Bl0T3,-1.8712797254574,1
10,N350,wn,Bl0T3,-2.69128812170777,1
10,N100,wn,Bl0T4,-2.96748478661714,1
10,P2,wn,Bl0T4,-1.78193859197415,1
10,N350,wn,Bl0T4,-2.29716594459799,1
11,N100,wm,Bl0T1,-2.37026342096209,1
11,P2,wm,Bl0T1,0.444015945876748,1
11,N350,wm,Bl0T1,-1.30319676715607,1
11,N100,wm,Bl0T2,-2.45889156964128,1
11,P2,wm,Bl0T2,-0.258845060506329,1
11,N350,wm,Bl0T2,-2.16687560509348,1
11,N100,wm,Bl0T3,-2.11108269445174,1
11,P2,wm,Bl0T3,-0.65558941567811,1
11,N350,wm,Bl0T3,-1.9679980263573,1
11,N100,wm,Bl0T4,-2.48973328146682,1
11,P2,wm,Bl0T4,0.872549890456539,1
11,N350,wm,Bl0T4,-0.989831281079016,1
11,N100,wn,Bl0T1,-3.49825291749999,1
11,P2,wn,Bl0T1,1.05653009730881,1
11,N350,wn,Bl0T1,-3.9009905336769,1
11,N100,wn,Bl0T2,-1.87136197363218,1
11,P2,wn,Bl0T2,1.44003019616293,1
11,N350,wn,Bl0T2,-0.371803848285888,1
11,N100,wn,Bl0T3,-3.01105490914537,1
11,P2,wn,Bl0T3,0.230849050061894,1
11,N350,wn,Bl0T3,-3.15358486005694,1
11,N100,wn,Bl0T4,-1.53921708152922,1
11,P2,wn,Bl0T4,1.34895581852626,1
11,N350,wn,Bl0T4,-2.18135815369782,1
13,N100,wm,Bl0T1,-2.36828483256516,1
