subject,component,sov,cond,amplitude,is_peak
08,N350,pREM,Bl0T4,-1.9852341743591,1
09,N100,tREM,Bl0T1,-2.41999820477392,1
09,P2,tREM,Bl0T1,1.81143100705362,1
09,N350,tREM,Bl0T1,-2.77573544478842,1
09,N100,tREM,Bl0T2,-0.1979777773314,1
09,P2,tREM,Bl0T2,3.22664843255293,1
09,N350,tREM,Bl0T2,-1.14631838929464,1
09,N100,tREM,Bl0T3,-1.71784449456467,1
09,P2,tREM,Bl0T3,1.53344352571777,1
09,N350,tREM,Bl0T3,-2.01484234558763,1
09,N100,tREM,Bl0T4,-1.22496535474727,1
09,P2,tREM,Bl0T4,2.23431182669658,1
09,N350,tREM,Bl0T4,-0.572949879389533,1
09,N100,pREM,Bl0T1,-0.909765976873561,1
09,P2,pREM,Bl0T1,2.90345753173805,1
09,N350,pREM,Bl0T1,-1.20718704974188,1
09,N100,pREM,Bl0T2,-0.614347724272029,1
09,P2,pREM,Bl0T2,2.39882310225258,1
09,N350,pREM,Bl0T2,-0.709422439691222,1
09,N100,pREM,Bl0T3,-2.54425163845016,1
09,P2,pREM,Bl0T3,0.117499287274567,1
09,N350,pREM,Bl0T3,-1.8515824995718,1
09,N100,pREM,Bl0T4,-0.572226866071399,1
09,P2,pREM,Bl0T4,1.94208045211406,1
09,N350,pREM,Bl0T4,-0.930670959432609,1
10,N100,tREM,Bl0T1,-1.17681593490616,1
10,P2,tREM,Bl0T1,1.89645949323746,1
10,N350,tREM,Bl0T1,-3.50933236733418,1
10,N100,tREM,Bl0T2,-1.09166397565309,1
10,P2,tREM,Bl0T2,4.15880536923672,1
10,N350,tREM,Bl0T2,-2.73074232991272,1
10,N100,tREM,Bl0T3,-2.75472806925552,1
10,P2,tREM,Bl0T3,1.9783551987927,1
10,N350,tREM,Bl0T3,-3.00921816718551,1
10,N100,tREM,Bl0T4,-2.06712279285615,1
10,P2,tREM,Bl0T4,0.413221618879793,1
10,N350,tREM,Bl0T4,-2.82662829176816,1
10,N100,pREM,Bl0T1,-1.00410589465949,1
10,P2,pREM,Bl0T1,0.978437002986255,1
10,N350,pREM,Bl0T1,-2.63568758655132,1
10,N100,pREM,Bl0T2,0.145999311174576,1
10,P2,pREM,Bl0T2,2.35162798966178,1
10,N350,pREM,Bl0T2,-0.121924489705513,1
10,N100,pREM,Bl0T3,-3.23405514914136,1
10,P2,pREM,Bl0T3,0.401158029874656,1
10,N350,pREM,Bl0T3,-1.7407720002818,1
10,N100,pREM,Bl0T4,-0.506816904257301,1
10,P2,pREM,Bl0T4,1.56958320291949,1
10,N350,pREM,Bl0T4,-1.65909952041496,1
11,N100,tREM,Bl0T1,-1.54623695780402,1
11,P2,tREM,Bl0T1,5.5505721785938,1
11,N350,tREM,Bl0T1,-3.56367501109919,1
11,N100,tREM,Bl0T2,-1.26796291863886,1
11,P2,tREM,Bl0T2,2.81218113046019,1
11,N350,tREM,Bl0T2,-5.58082355035729,1
11,N100,tREM,Bl0T3,-1.47515390244253,1
11,P2,tREM,Bl0T3,3.0974302358212,1
11,N350,tREM,Bl0T3,-3.75753650199226,1
11,N100,tREM,Bl0T4,-1.42369942954311,1
11,P2,tREM,Bl0T4,4.00017290009606,1
11,N350,tREM,Bl0T4,-6.02328315311142,1
11,N100,pREM,Bl0T1,1.6378825489266,1
11,P2,pREM,Bl0T1,3.29380925022066,1
11,N350,pREM,Bl0T1,-2.03699973060853,1
11,N100,pREM,Bl0T2,-0.774003616547478,1
11,P2,pREM,Bl0T2,1.5349095221527,1
11,N350,pREM,Bl0T2,-3.04832448857826,1
11,N100,pREM,Bl0T3,-1.22768594807751,1
11,P2,pREM,Bl0T3,1.30970907675328,1
11,N350,pREM,Bl0T3,-3.02175402180752,1
11,N100,pREM,Bl0T4,0.377607601020071,1
11,P2,pREM,Bl0T4,2.36453882327717,1
11,N350,pREM,Bl0T4,-0.010371580057674,1
13,N100,tREM,Bl0T1,-0.529336133015762,1
13,P2,tREM,Bl0T1,3.70696553023516,1
13,N350,tREM,Bl0T1,-0.52787271694206,1
13,N100,tREM,Bl0T2,-1.71664790949744,1
13,P2,tREM,Bl0T2,0.826107274054185,1
13,N350,tREM,Bl0T2,-2.90526285452687,1
13,N100,tREM,Bl0T3,-0.135354411460716,1
13,P2,tREM,Bl0T3,2.7013885028853,1
13,N350,tREM,Bl0T3,-0.348146248347094,1
13,N100,tREM,Bl0T4,-1.19272993208262,1
13,P2,tREM,Bl0T4,0.755826714911081,1
13,N350,tREM,Bl0T4,-2.47123198396253,1
13,N100,pREM,Bl0T1,-0.927151138448938,1
13,P2,pREM,Bl0T1,2.93706976837939,1
13,N350,pREM,Bl0T1,-0.999022668299142,1
13,N100,pREM,Bl0T2,-0.887533969161185,1
13,P2,pREM,Bl0T2,1.48515056795864,1
13,N350,pREM,Bl0T2,-1.32794218503404,1
13,N100,pREM,Bl0T3,-1.72288608785073,1
13,P2,pREM,Bl0T3,1.01276878426275,1
13,N350,pREM,Bl0T3,-1.038513605957,1
13,N100,pREM,Bl0T4,-2.20623143278062,1
13,P2,pREM,Bl0T4,-0.0411920843455433,1
13,N350,pREM,Bl0T4,-1.59851892894261,1
14,N100,tREM,Bl0T1,-1.09947936866166,1
14,P2,tREM,Bl0T1,3.81655064163996,1
14,N350,tREM,Bl0T1,-2.67016728062715,1
14,N100,tREM,Bl0T2,1.67216292917728,1
14,P2,tREM,Bl0T2,1.78821882605553,1
14,N350,tREM,Bl0T2,-2.31055729313354,1
14,N100,tREM,Bl0T3,-0.7368435301951,1
14,P2,tREM,Bl0T3,1.90354956729072,1
14,N350,tREM,Bl0T3,-3.17733737637422,1
14,N100,tREM,Bl0T4,-5.95884196360906,1
14,P2,tREM,Bl0T4,-3.31091180133323,1
14,N350,tREM,Bl0T4,-7.71177339156469,1
14,N100,pREM,Bl0T1,2.74897122532129,1
14,P2,pREM,Bl0T1,4.26034125164151,1
14,N350,pREM,Bl0T1,1.59323130771518,1
14,N100,pREM,Bl0T2,0.423898922884837,1
14,P2,pREM,Bl0T2,0.620684132818133,1
14,N350,pREM,Bl0T2,-2.2615879685618,1
14,N100,pREM,Bl0T3,-2.51537132794037,1
14,P2,pREM,Bl0T3,1.72060508900322,1
14,N350,pREM,Bl0T3,-5.89429443618283,1
14,N100,pREM,Bl0T4,-0.919592986814678,1
14,P2,pREM,Bl0T4,3.73456148952246,1
14,N350,pREM,Bl0T4,-1.6052559667849,1
15,N100,tREM,Bl0T1,2.30138362003274,1
15,P2,tREM,Bl0T1,8.47247455705737,1
15,N350,tREM,Bl0T1,0.73156073247624,1
15,N100,tREM,Bl0T2,-1.75705651146444,1
15,P2,tREM,Bl0T2,3.72836537455971,1
15,N350,tREM,Bl0T2,-3.14553048164499,1
15,N100,tREM,Bl0T3,-1.79417032970246,1
15,P2,tREM,Bl0T3,2.45817472775315,1
15,N350,tREM,Bl0T3,-2.42349963301663,1
15,N100,tREM,Bl0T4,-0.794061780108346,1
15,P2,tREM,Bl0T4,2.05056646711297,0
15,N350,tREM,Bl0T4,-2.0833478995247,1
15,N100,pREM,Bl0T1,-0.885541046712303,1
15,P2,pREM,Bl0T1,4.68053670305914,1
15,N350,pREM,Bl0T1,-1.24488914233322,1
15,N100,pREM,Bl0T2,-0.391674899218771,1
15,P2,pREM,Bl0T2,3.77710090443492,1
15,N350,pREM,Bl0T2,-0.157952854884072,1
15,N100,pREM,Bl0T3,-1.97598468938123,1
15,P2,pREM,Bl0T3,2.07104126784777,1
15,N350,pREM,Bl0T3,-0.990633184557837,1
15,N100,pREM,Bl0T4,-0.463539815296076,1
15,P2,pREM,Bl0T4,2.05456979450574,1
15,N350,pREM,Bl0T4,-0.985660145612139,1
16,N100,tREM,Bl0T1,-0.854755889473551,1
16,P2,tREM,Bl0T1,3.72589588741423,0
16,N350,tREM,Bl0T1,-1.36320839481187,1
16,N100,tREM,Bl0T2,-0.73572065270643,1
16,P2,tREM,Bl0T2,2.04317787091948,1
16,N350,tREM,Bl0T2,-0.793895659620274,1
16,N100,tREM,Bl0T3,-0.150331270054269,1
16,P2,tREM,Bl0T3,2.46380437968729,1
16,N350,tREM,Bl0T3,0.399936859991688,1
16,N100,tREM,Bl0T4,-0.64032915529646,1
16,P2,tREM,Bl0T4,0.734591584137082,1
16,N350,tREM,Bl0T4,-0.943731501404941,1
16,N100,pREM,Bl0T1,0.289786053270966,1
16,P2,pREM,Bl0T1,1.56812717142249,1
16,N350,pREM,Bl0T1,0.240252956389616,1
16,N100,pREM,Bl0T2,-1.08092592175003,1
16,P2,pREM,Bl0T2,1.40553156590963,1
16,N350,pREM,Bl0T2,-0.819060896829892,1
16,N100,pREM,Bl0T3,0.15689367234341,1
16,P2,pREM,Bl0T3,2.56348476700618,1
16,N350,pREM,Bl0T3,1.53017251174232,1
16,N100,pREM,Bl0T4,-0.112944849294707,1
16,P2,pREM,Bl0T4,1.16781778542991,1
16,N350,pREM,Bl0T4,-0.329151011384213,1
17,N100,tREM,Bl0T1,-0.480015527846461,1
17,P2,tREM,Bl0T1,1.35376414407331,1
17,N350,tREM,Bl0T1,-2.0586061469149,1
17,N100,tREM,Bl0T2,-1.47446065251158,1
17,P2,tREM,Bl0T2,-0.1767193356319,1
17,N350,tREM,Bl0T2,-1.90840993344154,1
17,N100,tREM,Bl0T3,-0.367001368611736,1
17,P2,tREM,Bl0T3,1.25697568488163,1
17,N350,tREM,Bl0T3,-0.640980852067366,1
17,N100,tREM,Bl0T4,-1.32147961482568,1
17,P2,tREM,Bl0T4,0.330765969931454,1
17,N350,tREM,Bl0T4,-1.9518286234341,1
17,N100,pREM,Bl0T1,1.58382828612325,1
17,P2,pREM,Bl0T1,2.28642862410799,1
17,N350,pREM,Bl0T1,0.211093373769032,1
17,N100,pREM,Bl0T2,-0.881389386129023,1
17,P2,pREM,Bl0T2,-0.0269521707585498,1
17,N350,pREM,Bl0T2,0.243908626908687,1
17,N100,pREM,Bl0T3,-3.11489446915881,1
17,P2,pREM,Bl0T3,-0.589342056982108,1
17,N350,pREM,Bl0T3,-3.16850135123997,1
17,N100,pREM,Bl0T4,-1.09165801452191,1
17,P2,pREM,Bl0T4,-0.573636934928822,1
17,N350,pREM,Bl0T4,-1.59527668392455,1
19,N100,tREM,Bl0T1,-0.526675751850147,1
19,P2,tREM,Bl0T1,4.06676766248834,1
